time,depth,sst,month
2021-04-27 12:00:00,0.0,26.856873,4
2021-04-28 12:00:00,0.0,26.873749,4
2021-04-29 12:00:00,0.0,26.945312,4
2021-04-30 12:00:00,0.0,27.026247,4
2021-05-01 12:00:00,0.0,27.146875,5
2021-05-02 12:00:00,0.0,27.399687,5
2021-05-03 12:00:00,0.0,27.486874,5
2021-05-04 12:00:00,0.0,27.575937,5
2021-05-05 12:00:00,0.0,27.643126,5
2021-05-06 12:00:00,0.0,27.75969,5
2021-05-07 12:00:00,0.0,27.925938,5
2021-05-08 12:00:00,0.0,27.795626,5
2021-05-09 12:00:00,0.0,27.633125,5
2021-05-10 12:00:00,0.0,27.573126,5
2021-05-11 12:00:00,0.0,27.817186,5
2021-05-12 12:00:00,0.0,28.0075,5
2021-05-13 12:00:00,0.0,27.992188,5
2021-05-14 12:00:00,0.0,27.792189,5
2021-05-15 12:00:00,0.0,27.158438,5
2021-05-16 12:00:00,0.0,27.750624,5
2021-05-17 12:00:00,0.0,27.77531,5
2021-05-18 12:00:00,0.0,27.720936,5
2021-05-19 12:00:00,0.0,27.687498,5
2021-05-20 12:00:00,0.0,27.559061,5
2021-05-21 12:00:00,0.0,26.855,5
2021-05-22 12:00:00,0.0,26.864687,5
2021-05-23 12:00:00,0.0,26.986876,5
2021-05-24 12:00:00,0.0,27.147186,5
2021-05-25 12:00:00,0.0,27.140312,5
2021-05-26 12:00:00,0.0,27.08375,5
2021-05-27 12:00:00,0.0,27.068748,5
2021-05-28 12:00:00,0.0,27.105936,5
2021-05-29 12:00:00,0.0,27.131563,5
2021-05-30 12:00:00,0.0,27.148123,5
2021-05-31 12:00:00,0.0,27.333435,5
2021-06-01 12:00:00,0.0,27.304375,6
2021-06-02 12:00:00,0.0,27.304688,6
2021-06-03 12:00:00,0.0,27.327188,6
2021-06-04 12:00:00,0.0,26.964687,6
2021-06-05 12:00:00,0.0,27.31031,6
2021-06-06 12:00:00,0.0,27.984062,6
2021-06-07 12:00:00,0.0,27.977188,6
2021-06-08 12:00:00,0.0,27.998125,6
2021-06-09 12:00:00,0.0,28.168749,6
2021-06-10 12:00:00,0.0,28.121248,6
2021-06-11 12:00:00,0.0,28.015623,6
2021-06-12 12:00:00,0.0,27.99031,6
2021-06-13 12:00:00,0.0,28.096878,6
2021-06-14 12:00:00,0.0,27.977188,6
2021-06-15 12:00:00,0.0,27.92656,6
2021-06-16 12:00:00,0.0,28.227812,6
2021-06-17 12:00:00,0.0,28.479687,6
2021-06-18 12:00:00,0.0,28.321253,6
2021-06-19 12:00:00,0.0,28.218748,6
2021-06-20 12:00:00,0.0,28.130314,6
2021-06-21 12:00:00,0.0,28.360313,6
2021-06-22 12:00:00,0.0,28.583439,6
2021-06-23 12:00:00,0.0,28.549065,6
2021-06-24 12:00:00,0.0,28.006876,6
2021-06-25 12:00:00,0.0,28.102186,6
2021-06-26 12:00:00,0.0,28.330938,6
2021-06-27 12:00:00,0.0,28.475,6
2021-06-28 12:00:00,0.0,28.158125,6
2021-06-29 12:00:00,0.0,27.791874,6
2021-06-30 12:00:00,0.0,27.34125,6
2021-07-01 12:00:00,0.0,27.554062,7
2021-07-02 12:00:00,0.0,28.19875,7
2021-07-03 12:00:00,0.0,29.160938,7
2021-07-04 12:00:00,0.0,29.152498,7
2021-07-05 12:00:00,0.0,29.114374,7
2021-07-06 12:00:00,0.0,29.062813,7
2021-07-07 12:00:00,0.0,28.667187,7
2021-07-08 12:00:00,0.0,28.7775,7
2021-07-09 12:00:00,0.0,28.676876,7
2021-07-10 12:00:00,0.0,28.5725,7
2021-07-11 12:00:00,0.0,28.430939,7
2021-07-12 12:00:00,0.0,28.560627,7
2021-07-13 12:00:00,0.0,28.622812,7
2021-07-14 12:00:00,0.0,28.242188,7
2021-07-15 12:00:00,0.0,28.348125,7
2021-07-16 12:00:00,0.0,28.577187,7
2021-07-17 12:00:00,0.0,28.666563,7
2021-07-18 12:00:00,0.0,28.722185,7
2021-07-19 12:00:00,0.0,28.865625,7
2021-07-20 12:00:00,0.0,28.939688,7
2021-07-21 12:00:00,0.0,29.028751,7
2021-07-22 12:00:00,0.0,29.388437,7
2021-07-23 12:00:00,0.0,29.528124,7
2021-07-24 12:00:00,0.0,29.184689,7
2021-07-25 12:00:00,0.0,29.309687,7
2021-07-26 12:00:00,0.0,29.595312,7
2021-07-27 12:00:00,0.0,29.772812,7
