model,mae,rmse,r2,training_time_seconds,measured_energy_kwh,cloud_region,location,google_cfe,google_cfe_percent,grid_carbon_intensity_gco2eq_per_kwh,simulated_cloud_emissions_kg_co2eq,simulated_cloud_emissions_g_co2eq,simulated_cloud_emissions_mg_co2eq,reference_emissions_kg_co2eq,emissions_savings_kg_co2eq,emissions_savings_percent,scenario,scaled_energy_kwh,scaled_cloud_emissions_kg_co2eq,scaled_reference_emissions_kg_co2eq,scaled_emissions_savings_kg_co2eq
Random_Forest,0.1118612200448602,0.1529204412760542,0.9944420995086618,2.0843176000053063,8.276052427301124e-05,asia-south1,Mumbai,0.09,9.0,678.76,5.6174533455549104e-05,0.056174533455549104,56.1745334555491,4.765102706067168e-05,-8.523506394877426e-06,-17.887350851902667,"10,000 repeated training runs",0.8276052427301124,0.561745334555491,0.4765102706067168,-0.08523506394877427
XGBoost,0.1182107989626218,0.1622102291519892,0.9937463127612288,0.2944493999821134,2.2454029716173677e-05,europe-north2,Stockholm,1.0,100.0,2.73,6.129950112515414e-08,6.129950112515413e-05,0.061299501125154136,1.2928356689681318e-05,1.2867057188556165e-05,99.52585233687063,"10,000 repeated training runs",0.22454029716173676,0.0006129950112515413,0.1292835668968132,0.12867057188556164
XGBoost,0.1182107989626218,0.1622102291519892,0.9937463127612288,0.2944493999821134,2.2454029716173677e-05,northamerica-northeast1,Montréal,0.99,99.0,5.48,1.2304808284463178e-07,0.00012304808284463177,0.12304808284463178,1.2928356689681318e-05,1.2805308606836687e-05,99.04823106448755,"10,000 repeated training runs",0.22454029716173676,0.0012304808284463178,0.1292835668968132,0.12805308606836688
XGBoost,0.1182107989626218,0.1622102291519892,0.9937463127612288,0.2944493999821134,2.2454029716173677e-05,europe-west6,Zürich,0.98,98.0,15.05,3.3793314722841386e-07,0.0003379331472284139,0.33793314722841383,1.2928356689681318e-05,1.2590423542452905e-05,97.38610903659448,"10,000 repeated training runs",0.22454029716173676,0.0033793314722841386,0.1292835668968132,0.12590423542452905
XGBoost,0.1182107989626218,0.1622102291519892,0.9937463127612288,0.2944493999821134,2.2454029716173677e-05,us-west1,Oregon,0.87,87.0,79.23,1.7790327744124404e-06,0.0017790327744124405,1.7790327744124403,1.2928356689681318e-05,1.1149323915268878e-05,86.23929694148705,"10,000 repeated training runs",0.22454029716173676,0.017790327744124403,0.1292835668968132,0.11149323915268877
XGBoost,0.1182107989626218,0.1622102291519892,0.9937463127612288,0.2944493999821134,2.2454029716173677e-05,us-east4,Northern Virginia,0.62,62.0,323.05,7.253774299809907e-06,0.007253774299809906,7.253774299809907,1.2928356689681318e-05,5.674582389871412e-06,43.89252652969067,"10,000 repeated training runs",0.22454029716173676,0.07253774299809906,0.1292835668968132,0.05674582389871412
XGBoost,0.1182107989626218,0.1622102291519892,0.9937463127612288,0.2944493999821134,2.2454029716173677e-05,us-east1,South Carolina,0.31,31.0,575.77,1.2928356689681318e-05,0.012928356689681317,12.928356689681317,1.2928356689681318e-05,0.0,0.0,"10,000 repeated training runs",0.22454029716173676,0.1292835668968132,0.1292835668968132,0.0
XGBoost,0.1182107989626218,0.1622102291519892,0.9937463127612288,0.2944493999821134,2.2454029716173677e-05,asia-south1,Mumbai,0.09,9.0,678.76,1.5240897210150045e-05,0.015240897210150045,15.240897210150045,1.2928356689681318e-05,-2.3125405204687268e-06,-17.887350851902667,"10,000 repeated training runs",0.22454029716173676,0.15240897210150045,0.1292835668968132,-0.02312540520468727
PyTorch_Neural_Network,0.727306574381392,0.9102916594260512,0.8030568822720229,10.034339900012128,0.0002245286032415,europe-north2,Stockholm,1.0,100.0,2.73,6.12963086849295e-07,0.000612963086849295,0.612963086849295,0.00012927683388835846,0.00012866387080150916,99.52585233687063,"10,000 repeated training runs",2.245286032415,0.00612963086849295,1.2927683388835847,1.2866387080150916
PyTorch_Neural_Network,0.727306574381392,0.9102916594260512,0.8030568822720229,10.034339900012128,0.0002245286032415,northamerica-northeast1,Montréal,0.99,99.0,5.48,1.2304167457634202e-06,0.0012304167457634202,1.23041674576342,0.00012927683388835846,0.00012804641714259503,99.04823106448755,"10,000 repeated training runs",2.245286032415,0.012304167457634203,1.2927683388835847,1.2804641714259504
PyTorch_Neural_Network,0.727306574381392,0.9102916594260512,0.8030568822720229,10.034339900012128,0.0002245286032415,europe-west6,Zürich,0.98,98.0,15.05,3.3791554787845755e-06,0.0033791554787845754,3.3791554787845755,0.00012927683388835846,0.00012589767840957388,97.38610903659448,"10,000 repeated training runs",2.245286032415,0.033791554787845755,1.2927683388835847,1.2589767840957389
PyTorch_Neural_Network,0.727306574381392,0.9102916594260512,0.8030568822720229,10.034339900012128,0.0002245286032415,us-west1,Oregon,0.87,87.0,79.23,1.7789401234824044e-05,0.017789401234824045,17.789401234824044,0.00012927683388835846,0.00011148743265353442,86.23929694148705,"10,000 repeated training runs",2.245286032415,0.17789401234824043,1.2927683388835847,1.1148743265353442
PyTorch_Neural_Network,0.727306574381392,0.9102916594260512,0.8030568822720229,10.034339900012128,0.0002245286032415,us-east4,Northern Virginia,0.62,62.0,323.05,7.25339652771666e-05,0.07253396527716659,72.53396527716659,0.00012927683388835846,5.6742868611191864e-05,43.89252652969066,"10,000 repeated training runs",2.245286032415,0.7253396527716659,1.2927683388835847,0.5674286861119187
PyTorch_Neural_Network,0.727306574381392,0.9102916594260512,0.8030568822720229,10.034339900012128,0.0002245286032415,us-east1,South Carolina,0.31,31.0,575.77,0.00012927683388835846,0.12927683388835845,129.27683388835845,0.00012927683388835846,0.0,0.0,"10,000 repeated training runs",2.245286032415,1.2927683388835847,1.2927683388835847,0.0
PyTorch_Neural_Network,0.727306574381392,0.9102916594260512,0.8030568822720229,10.034339900012128,0.0002245286032415,asia-south1,Mumbai,0.09,9.0,678.76,0.00015240103473620055,0.15240103473620054,152.40103473620056,0.00012927683388835846,-2.3124200847842092e-05,-17.887350851902674,"10,000 repeated training runs",2.245286032415,1.5240103473620055,1.2927683388835847,-0.2312420084784209
