model,mae,rmse,r2,training_time_seconds,emissions_kg_co2eq,emissions_g_co2eq,emissions_mg_co2eq,rmse_improvement_vs_persistence_percent,codecarbon_file,measured_energy_kwh,codecarbon_emissions_kg,codecarbon_duration_seconds,measured_energy_wh
Ridge_Regression,0.0984035176384167,0.1336448839777558,0.9957549348645076,0.0036603999906219,6.716941176841729e-06,0.0067169411768417,6.716941176841729,7.918418760679293,emissions_ridge_regression.csv,1.4458355962031836e-05,6.716941176841729e-06,1.5148607000010088,0.014458355962031837
Persistence_Baseline,0.1082542749999999,0.1451374772012351,0.9949934469605024,0.0002207000216003,0.0,0.0,0.0,0.0,,0.0,,,0.0
Random_Forest,0.1118612200448602,0.1529204412760542,0.9944420995086618,2.0843176000053063,3.844818696995742e-05,0.0384481869699574,38.44818696995742,-5.362477166409569,emissions_random_forest.csv,8.276052427301124e-05,3.844818696995742e-05,3.592698599997675,0.08276052427301124
XGBoost,0.1182107989626218,0.1622102291519892,0.9937463127612288,0.2944493999821134,1.0431503912523652e-05,0.0104315039125236,10.431503912523652,-11.763158820159529,emissions_xgboost.csv,2.2454029716173677e-05,1.0431503912523652e-05,1.7986602000019047,0.022454029716173676
PyTorch_Neural_Network,0.727306574381392,0.9102916594260512,0.8030568822720229,10.034339900012128,0.0001043096064623,0.1043096064623375,104.30960646233756,-527.1926982470003,emissions_pytorch_neural_network.csv,0.0002245286032415,0.0001043096064623,11.537696199986383,0.2245286032415
